stop_lat,stop_code,stop_serial_number,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.288479,294,2060,-157.824985,294,http://hea.thebus.org/nextbus.asp?s=294,,,UNIVERSITY AVE + DATE ST,0,
21.290514,295,2071,-157.82305,295,http://hea.thebus.org/nextbus.asp?s=295,,,UNIVERSITY AVE + 831,0,
21.292156,292,2038,-157.667322,292,http://hea.thebus.org/nextbus.asp?s=292,,,KEALAHOU ST + KIPUKAI PL,0,
21.291153,293,2049,-157.66556,293,http://hea.thebus.org/nextbus.asp?s=293,,,KEALAHOU ST + KALANIANAOLE HWY,0,
21.291892,290,2016,-157.671951,290,http://hea.thebus.org/nextbus.asp?s=290,,,KEALAHOU ST + HOLOKAI PL,0,
21.291562,291,2027,-157.669963,291,http://hea.thebus.org/nextbus.asp?s=291,,,KEALAHOU ST + KUANALU PL,0,
21.286722,3773,2878,-157.779408,3773,http://hea.thebus.org/nextbus.asp?s=3773,,,HALEKOA DR + PALIPAA PL,0,
21.284897,3772,2877,-157.7808,3772,http://hea.thebus.org/nextbus.asp?s=3772,,,HALEKOA DR + OPP UHI PL,0,
21.283928,3771,2876,-157.781001,3771,http://hea.thebus.org/nextbus.asp?s=3771,,,HALEKOA DR + 1645,0,
21.282714,3770,2875,-157.780118,3770,http://hea.thebus.org/nextbus.asp?s=3770,,,HALEKOA DR + 1465,0,
21.298415,3777,2882,-157.774762,3777,http://hea.thebus.org/nextbus.asp?s=3777,,,HALEKOA DR + AHAAINA PL,0,
21.294739,3776,2881,-157.775883,3776,http://hea.thebus.org/nextbus.asp?s=3776,,,HALEKOA DR + AHAKU PL,0,
21.292748,3775,2880,-157.776318,3775,http://hea.thebus.org/nextbus.asp?s=3775,,,HALEKOA DR + AHAPII PL,0,
21.289002,3774,2879,-157.777479,3774,http://hea.thebus.org/nextbus.asp?s=3774,,,HALEKOA DR + OPP ALAELOA ST,0,
21.298384,3779,2884,-157.777447,3779,http://hea.thebus.org/nextbus.asp?s=3779,,,HALEKOA DR + AHAMELE PL,0,
21.299309,3778,2883,-157.776256,3778,http://hea.thebus.org/nextbus.asp?s=3778,,,HALEKOA DR + 2419,0,
21.284431,270,1800,-157.7175,270,http://hea.thebus.org/nextbus.asp?s=270,,,KALANIANAOLE HWY + OPP HAWAII KAI DR,0,
21.282774,271,1811,-157.714934,271,http://hea.thebus.org/nextbus.asp?s=271,,,KALANIANAOLE HWY + OPP KEAHOLE ST,0,
21.2803,272,1822,-157.710043,272,http://hea.thebus.org/nextbus.asp?s=272,,,KALANIANAOLE HWY + 6999,0,
21.279291,273,1833,-157.70884,273,http://hea.thebus.org/nextbus.asp?s=273,,,KALANIANAOLE HWY + PORTLOCK RD,0,
21.275256,274,1844,-157.69333,274,http://hea.thebus.org/nextbus.asp?s=274,,,KALANIANAOLE HWY + HANAUMA BAY RD,0,
21.286521,275,1855,-157.672878,275,http://hea.thebus.org/nextbus.asp?s=275,,,KALANIANAOLE HWY + SANDY BEACH,0,
21.290465,276,1866,-157.665265,276,http://hea.thebus.org/nextbus.asp?s=276,,,KALANIANAOLE HWY + OPP KEALAHOU ST,0,
21.296997,277,1877,-157.662429,277,http://hea.thebus.org/nextbus.asp?s=277,,,KALANIANAOLE HWY + OPP HAWAII KAI GOLF COURSE,0,
21.294697,278,1888,-157.686865,278,http://hea.thebus.org/nextbus.asp?s=278,,,HAWAII KAI DR + KALALEA ST,0,
21.293228,279,1899,-157.684646,279,http://hea.thebus.org/nextbus.asp?s=279,,,HAWAII KAI DR + AHUKINI ST,0,
21.32028,738,3649,-157.862286,738,http://hea.thebus.org/nextbus.asp?s=738,,,VINEYARD BL + LILIHA ST,0,
21.329529,581,3484,-157.882675,581,http://hea.thebus.org/nextbus.asp?s=581,,,DILLINGHAM BL + PUUHALE RD,0,
21.396408,642,3550,-158.162902,642,http://hea.thebus.org/nextbus.asp?s=642,,,FARRINGTON HWY + OPP HAKIMO RD,0,
