"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id"
"Ventura County Line","VCL-MTWTF-20190408","294100125-20190408","L.A. Union Station","108","1"
"Ventura County Line","VCL-MTWTF-20190408","294100126-20190408","L.A. Union Station","A768","1"
"Ventura County Line","VCL-MTWTF-20190408","294100127-20190408","L.A. Union Station","110","1"
"Ventura County Line","VCL-MTWTF-20190408","294100128-20190408","L.A. Union Station","112","1"
"Ventura County Line","VCL-MTWTF-20190408","294100131-20190408","L.A. Union Station","116","1"
"Ventura County Line","VCL-MTWTF-20190408","294100132-20190408","L.A. Union Station","118","1"
"Ventura County Line","VCL-MTWTF-20190408","294101013-20190408","L.A. Union Station","150","1"
"Ventura County Line","VCL-MTWTF-20190408","294200133-20190408","Moorpark","101","0"
"Ventura County Line","VCL-MTWTF-20190408","294200134-20190408","Chatsworth","103","0"
"Ventura County Line","VCL-MTWTF-20190408","294200137-20190408","Chatsworth","107","0"
"Ventura County Line","VCL-MTWTF-20190408","294200138-20190408","Moorpark","109","0"
"Ventura County Line","VCL-MTWTF-20190408","294200141-20190408","Moorpark","115","0"
"Ventura County Line","VCL-MTWTF-20190408","294200142-20190408","Ventura - East","117","0"
"Ventura County Line","VCL-MTWTF-20190408","294200143-20190408","Ventura - East","119","0"
"Ventura County Line","VCL-MTWTF-20190408","294200942-20190408","Moorpark","121","0"
"Ventura County Line","VCL-MTWTF-20190408","294200943-20190408","Ventura - East","123","0"
"Ventura County Line","VCL-MTWTF-20190408","294201021-20190408","Chatsworth","155","0"
"Ventura County Line","VCL-MTWTF-20190408","294201082-20190408","Goleta","A759","0"
"Antelope Valley Line","AVL-MTWTF-20190408","294300161-20190408","L.A. Union Station","200","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294300162-20190408","L.A. Union Station","202","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294300163-20190408","L.A. Union Station","204","1"
"Antelope Valley Line","AVL-MTWTF-20190408","294300164-20190408","L.A. Union Station","206","1"
