"stop_id","stop_name","stop_lat","stop_lon","zone_id","stop_url","to_from","schedules","stop_alias"
"82","Anaheim Canyon Metrolink Station","33.854176","-117.840523","82","https://www.metrolinktrains.com/rider-info/general-info/stations/anaheim-canyon/","BOTH","1","Anaheim Canyon"
"81","Anaheim-ARTIC Metrolink Station","33.802582","-117.877998","81","https://www.metrolinktrains.com/rider-info/general-info/stations/anaheim/","BOTH","1","Anaheim"
"83","Baldwin Park Metrolink Station","34.086426","-117.957397","83","https://www.metrolinktrains.com/rider-info/general-info/stations/baldwin-park/","BOTH","1","Baldwin Park"
"84","Buena Park Metrolink Station","33.875969","-117.986855","84","https://www.metrolinktrains.com/rider-info/general-info/stations/buena-park/","BOTH","1","Buena Park"
"510","Burbank Airport - North (AV Line) Metrolink Station","34.206389","-118.35","510","https://www.metrolinktrains.com/rider-info/general-info/stations/BurbankAirportNorth/","BOTH","1","Burbank Airport - North (AV Line)"
"85","Burbank Airport - South (VC Line) Metrolink Station","34.192795","-118.352600","85","https://www.metrolinktrains.com/rider-info/general-info/stations/burbankairportsouth/","BOTH","1","Burbank Airport - South (VC Line)"
"87","Cal State LA Metrolink Station","34.062119","-118.171646","87","https://www.metrolinktrains.com/rider-info/general-info/stations/cal-state-la/","BOTH","1","Cal State LA"
"88","Camarillo Metrolink Station","34.216656","-119.033829","88","https://www.metrolinktrains.com/rider-info/general-info/stations/camarillo/","BOTH","1","Camarillo"
"89","Chatsworth Metrolink Station","34.253197","-118.599411","89","https://www.metrolinktrains.com/rider-info/general-info/stations/chatsworth/","BOTH","1","Chatsworth"
"90","Claremont Metrolink Station","34.093884","-117.716354","90","https://www.metrolinktrains.com/rider-info/general-info/stations/claremont/","BOTH","1","Claremont"
"91","Commerce Metrolink Station","33.990734","-118.143776","91","https://www.metrolinktrains.com/rider-info/general-info/stations/commerce/","BOTH","1","Commerce"
"92","Covina Metrolink Station","34.092140","-117.888893","92","https://www.metrolinktrains.com/rider-info/general-info/stations/covina/","BOTH","1","Covina"
"86","Downtown Burbank Metrolink Station","34.178944","-118.312866","86","https://www.metrolinktrains.com/rider-info/general-info/stations/burbank---downtown/","BOTH","1","Burbank - Downtown"
"93","Downtown Pomona Metrolink Station","34.058765","-117.750549","93","https://www.metrolinktrains.com/rider-info/general-info/stations/pomona---downtown/","BOTH","1","Pomona - Downtown"
"94","East Ontario Metrolink Station","34.039909","-117.579521","94","https://www.metrolinktrains.com/rider-info/general-info/stations/ontario---east/","BOTH","1","Ontario - East"
"103","East Ventura Metrolink Station","34.250793","-119.205025","103","https://www.metrolinktrains.com/rider-info/general-info/stations/ventura---east/","BOTH","1","Ventura - East"
"95","El Monte Metrolink Station","34.076805","-118.035500","95","https://www.metrolinktrains.com/rider-info/general-info/stations/el-monte/","BOTH","1","El Monte"
"96","Fontana Metrolink Station","34.095165","-117.438095","96","https://www.metrolinktrains.com/rider-info/general-info/stations/fontana/","BOTH","1","Fontana"
"97","Fullerton Metrolink Station","33.868698","-117.922295","97","https://www.metrolinktrains.com/rider-info/general-info/stations/fullerton/","BOTH","1","Fullerton"
"98","Glendale Metrolink Station","34.123341","-118.258926","98","https://www.metrolinktrains.com/rider-info/general-info/stations/glendale/","BOTH","1","Glendale"
"99","Industry Metrolink Station","34.007927","-117.845581","99","https://www.metrolinktrains.com/rider-info/general-info/stations/industry/","BOTH","1","Industry"
"100","Irvine Metrolink Station","33.657055","-117.732933","100","https://www.metrolinktrains.com/rider-info/general-info/stations/irvine/","BOTH","1","Irvine"
"115","Jurupa Valley/Pedley Metrolink Station","33.978119","-117.476273","115","https://www.metrolinktrains.com/rider-info/general-info/stations/jurupa-valleypedley/","BOTH","1","Jurupa Valley / Pedley"
"131","L. A. Union Station Metrolink Station","34.055729","-118.233513","131","https://www.metrolinktrains.com/rider-info/general-info/stations/l.a.-union-station/","BOTH","1","L.A. Union Station"
"101","Laguna Niguel/ Mission Viejo Metrolink Station","33.553902","-117.675003","101","https://www.metrolinktrains.com/rider-info/general-info/stations/laguna-niguelmission-viejo/","BOTH","1","Laguna Niguel / Mission Viejo"
"102","Lancaster Metrolink Station","34.696579","-118.136131","102","https://www.metrolinktrains.com/rider-info/general-info/stations/lancaster/","BOTH","1","Lancaster"
"180","LAX","33.942810","-118.404709","180","https://www.metrolinktrains.com/rider-info/general-info/stations/lax-via-flyaway/","BOTH","1","LAX via FlyAway"
"104","Montclair Metrolink Station","34.094086","-117.695580","104","https://www.metrolinktrains.com/rider-info/general-info/stations/montclair/","BOTH","1","Montclair"
